Employees Range,Per-Item Rate,Base Fee,Notes
"0 – 500","$1,250","$1,000",
"501 – 1,500","$1,500","$1,000",
"1,501 – 5,000","$1,750","$1,500",
"5,001 – 10,000","$2,800","$1,500",
"10,001 – 15,000","$4,200","$1,500",
"15,001 – 25,000","$5,200","$1,500",
"25,001+","$7,000","$1,500",

Additional Rules:
Years of Data ≤ 3,15% discount per item,
Years of Data ≥ 10,30% premium per item,
Base Fee is tiered by employee count,,
Timesheets - by month,"$350 per year of data",
Timesheets - by pay period,"$450 per year of data",
Other item,Custom pricing needed,
Download Only option,Removed per request,
Payroll Export add-on,Removed per request,

Migration Items Available:
Pay stubs,,
W-2s,,
1095-Cs,,
Timecards,,
Timesheets,By month or by pay period,
HR documents (includes i9s, handbooks etc),,
Performance reviews,,
Employee action forms,,
ATS data - applications and resumes,,
Learning course completion history,,
Other item,Custom pricing needed,
